shipment_id,region,transport_mode,warehouse,shipment_volume_kg,delivery_time_days,distance_km,transport_cost,fuel_cost,on_time_delivery
SHP-0039,North,Road,WH-D,80.17,5.85,1340.32,914.09,79.45,1
SHP-0040,South,Road,WH-A,118.91,7.37,303.75,1152.4,10.0,1
SHP-0041,West,Sea,WH-C,143.86,11.45,418.6,671.84,17.07,1
SHP-0042,North,Road,WH-D,39.0,6.03,550.69,224.09,29.67,1
SHP-0043,West,Rail,WH-D,51.63,6.86,718.72,532.31,23.04,0
SHP-0044,South,Rail,WH-D,70.9,7.57,376.69,608.59,47.67,1
SHP-0045,South,Road,WH-A,74.24,5.0,126.49,774.95,10.0,1
SHP-0046,North,Rail,WH-A,117.45,8.57,946.16,1042.76,42.0,1
SHP-0047,South,Road,WH-B,144.18,6.46,709.84,1543.4,24.37,1
SHP-0048,Central,Sea,WH-C,148.86,10.4,213.45,1002.49,38.72,1
SHP-0049,South,Road,WH-B,38.59,5.79,368.1,345.54,28.54,1
SHP-0050,West,Road,WH-C,59.12,6.11,1046.0,668.45,43.48,1
SHP-0051,West,Road,WH-A,48.17,6.57,987.27,430.37,70.89,1
SHP-0052,West,Sea,WH-D,65.27,9.68,773.21,447.29,45.54,1
SHP-0053,West,Road,WH-B,59.01,6.33,452.81,652.21,28.76,1
SHP-0054,Central,Rail,WH-D,101.68,8.96,512.77,878.69,23.04,0
SHP-0055,East,Road,WH-B,106.92,7.24,462.74,1150.05,14.21,1
SHP-0056,North,Air,WH-A,85.24,2.58,846.88,1977.83,51.64,0
SHP-0057,West,Road,WH-A,81.8,6.44,323.63,956.4,10.0,1
SHP-0058,South,Sea,WH-A,72.21,10.72,334.69,711.82,45.66,1
SHP-0059,West,Road,WH-B,75.89,6.17,800.26,803.69,24.97,1
SHP-0060,South,Road,WH-C,160.41,5.29,482.37,1534.35,49.57,1
SHP-0061,South,Road,WH-B,113.63,7.03,954.96,1228.2,50.85,1
SHP-0062,West,Road,WH-C,73.39,8.67,356.98,780.99,24.12,1
SHP-0063,Central,Rail,WH-B,81.13,7.55,479.96,796.53,38.9,1
SHP-0064,South,Road,WH-B,102.68,5.81,316.47,1054.59,10.0,1
SHP-0065,South,Air,WH-A,49.13,3.31,494.49,1089.59,40.16,1
SHP-0066,West,Road,WH-D,90.38,6.79,242.33,938.3,10.0,1
SHP-0067,South,Road,WH-D,110.97,8.17,389.92,1265.93,10.65,1
SHP-0068,South,Road,WH-C,104.95,5.24,247.3,1077.18,10.0,1
SHP-0069,West,Road,WH-D,59.62,6.71,687.51,629.49,19.01,1
SHP-0070,West,Rail,WH-B,64.42,8.34,695.04,718.73,35.0,1
SHP-0071,North,Road,WH-B,33.25,5.24,214.75,333.04,17.6,1
SHP-0072,Central,Road,WH-A,115.97,7.28,934.74,1235.93,61.95,1
SHP-0073,Central,Sea,WH-A,189.93,13.6,1633.96,1158.25,93.48,1
SHP-0074,South,Sea,WH-D,56.04,11.01,503.75,303.56,17.72,1
SHP-0075,Central,Road,WH-C,133.16,5.88,362.22,1414.13,25.46,1
SHP-0076,South,Road,WH-D,182.42,9.03,1911.57,1800.49,107.0,1
SHP-0077,North,Rail,WH-D,69.17,7.67,261.62,661.72,28.43,1
SHP-0078,West,Road,WH-D,81.17,6.34,497.53,798.72,39.02,0
SHP-0079,West,Road,WH-D,94.71,6.59,537.12,1080.74,30.0,1
SHP-0080,West,Road,WH-B,103.53,6.49,939.8,1199.89,38.23,1
SHP-0081,Central,Air,WH-C,96.9,5.11,585.62,2301.34,22.41,1
SHP-0082,North,Rail,WH-B,71.51,7.69,387.86,625.87,13.09,1
SHP-0083,Central,Road,WH-C,110.23,5.5,312.13,1125.35,12.44,1
SHP-0084,Central,Road,WH-A,72.22,5.65,418.19,735.89,27.02,1
SHP-0085,North,Road,WH-D,99.73,6.8,303.89,1202.2,27.44,1
SHP-0086,North,Rail,WH-B,83.93,9.42,504.19,652.23,26.96,1
SHP-0087,North,Road,WH-C,36.9,6.16,375.85,368.02,20.91,1
SHP-0088,North,Road,WH-A,141.58,6.37,240.53,1519.53,15.38,1
SHP-0089,West,Air,WH-A,65.17,6.03,900.07,1470.73,41.77,1
SHP-0090,East,Road,WH-D,147.68,7.76,388.04,1457.21,10.0,1
SHP-0091,East,Rail,WH-C,130.88,10.32,268.08,906.59,10.0,1
SHP-0092,North,Road,WH-B,93.5,6.31,454.52,958.39,14.57,1
SHP-0093,East,Road,WH-D,105.82,7.32,509.19,1129.6,35.1,1
SHP-0094,East,Road,WH-B,111.29,7.77,213.09,1218.99,10.0,1
SHP-0095,North,Air,WH-A,77.98,4.8,577.78,1887.67,28.21,1
SHP-0096,East,Sea,WH-B,79.58,11.65,298.08,615.19,23.39,1
SHP-0097,Central,Sea,WH-B,108.99,11.96,1120.24,688.65,69.42,1
SHP-0098,South,Road,WH-D,84.31,5.96,633.65,890.35,18.66,1
SHP-0099,South,Rail,WH-B,71.61,7.13,406.69,639.76,37.32,1
SHP-0100,North,Road,WH-D,60.04,6.26,344.58,797.61,35.86,1
SHP-0101,West,Road,WH-A,100.97,7.69,468.54,1109.04,10.0,1
SHP-0102,North,Sea,WH-D,64.25,9.9,661.26,425.11,24.01,1
SHP-0103,West,Road,WH-D,121.36,8.21,486.76,1211.31,44.64,0
SHP-0104,South,Road,WH-C,125.75,8.73,443.97,1221.8,22.22,1
SHP-0105,North,Road,WH-B,105.48,5.64,506.75,1163.59,10.0,1
SHP-0106,Central,Road,WH-A,114.92,5.91,368.76,1250.08,10.0,1
SHP-0107,East,Road,WH-D,105.61,6.54,417.91,1172.96,19.24,1
SHP-0108,West,Rail,WH-A,118.42,8.99,181.06,919.89,10.0,1
SHP-0109,East,Road,WH-C,116.27,6.29,786.34,1344.39,37.05,1
SHP-0110,East,Sea,WH-B,98.67,12.33,568.74,622.4,31.77,1
SHP-0111,North,Air,WH-D,131.59,4.86,339.93,3068.4,40.63,1
SHP-0112,East,Road,WH-B,79.17,6.27,1225.85,861.46,63.07,0
SHP-0113,Central,Road,WH-C,60.82,4.24,513.77,599.47,44.35,1
SHP-0114,East,Road,WH-C,59.49,4.36,299.66,696.92,37.91,1
SHP-0115,North,Rail,WH-A,74.24,8.16,743.4,666.33,62.4,1
SHP-0116,Central,Road,WH-D,34.72,2.97,596.49,415.48,37.08,1
SHP-0117,South,Rail,WH-A,93.11,9.34,595.5,780.68,10.0,1
SHP-0118,East,Road,WH-C,111.92,6.63,401.67,1179.25,29.0,1
SHP-0119,North,Rail,WH-B,124.99,12.48,611.7,1252.03,49.37,0
SHP-0120,South,Road,WH-A,40.08,8.18,434.57,634.53,22.69,1
SHP-0121,South,Road,WH-A,60.32,5.68,643.45,740.29,61.56,1
SHP-0122,West,Sea,WH-B,119.79,11.03,197.48,747.73,23.76,0
SHP-0123,Central,Air,WH-A,78.1,4.55,400.11,1890.79,30.53,1
SHP-0124,East,Road,WH-B,110.85,8.75,1126.23,1257.3,78.24,0
SHP-0125,North,Sea,WH-D,48.06,7.98,340.97,362.29,23.75,1
SHP-0126,West,Road,WH-B,146.92,5.39,368.76,1465.49,10.0,0
SHP-0127,Central,Sea,WH-D,46.46,9.12,397.41,365.95,14.37,1
SHP-0128,West,Air,WH-B,19.77,3.03,275.03,204.06,33.08,1
SHP-0129,Central,Road,WH-C,91.96,7.03,170.72,1019.05,10.0,0
SHP-0130,Central,Road,WH-C,92.97,7.7,441.12,977.92,20.91,1
SHP-0131,East,Road,WH-D,68.35,4.65,525.95,876.35,13.25,1
SHP-0132,Central,Road,WH-D,103.9,4.01,480.49,1060.9,53.19,1
SHP-0133,West,Rail,WH-C,105.15,9.38,459.65,745.28,50.5,1
SHP-0134,Central,Road,WH-D,100.36,5.65,503.03,1050.72,14.41,1
SHP-0135,East,Road,WH-B,67.81,3.7,805.1,616.64,46.49,1
SHP-0136,East,Sea,WH-B,62.26,10.29,449.7,507.96,14.53,1
SHP-0137,West,Sea,WH-C,70.94,11.19,374.07,546.84,29.8,1
SHP-0138,South,Road,WH-A,58.66,5.72,430.55,746.34,31.33,1
SHP-0139,South,Road,WH-B,134.19,6.69,650.72,1324.02,47.97,1
SHP-0140,Central,Road,WH-D,73.59,5.94,970.46,809.07,58.35,1
SHP-0141,North,Road,WH-A,90.85,6.01,364.49,848.37,64.08,1
SHP-0142,Central,Sea,WH-A,119.58,9.6,516.71,774.1,13.0,0
SHP-0143,West,Road,WH-B,57.44,5.01,579.64,682.58,10.0,1
SHP-0144,West,Rail,WH-B,45.62,7.92,305.99,483.73,10.93,1
SHP-0145,West,Road,WH-A,58.75,6.23,497.6,670.33,10.0,0
SHP-0146,West,Rail,WH-A,95.07,8.4,243.83,806.54,10.0,1
SHP-0147,West,Rail,WH-C,92.34,7.02,210.79,870.92,10.0,1
SHP-0148,East,Sea,WH-D,100.28,10.6,587.6,616.34,18.48,1
SHP-0149,South,Road,WH-C,81.27,3.76,409.83,852.22,10.0,1
SHP-0150,West,Road,WH-B,26.34,5.48,542.99,251.12,37.64,1
SHP-0151,North,Road,WH-C,80.17,7.89,488.53,825.46,19.28,1
SHP-0152,North,Sea,WH-C,126.36,9.58,308.38,749.83,14.27,1
SHP-0153,North,Sea,WH-C,140.2,10.85,482.16,925.57,39.93,1
SHP-0154,North,Rail,WH-C,88.3,8.47,272.63,703.34,10.0,1
SHP-0155,East,Rail,WH-D,92.49,9.61,960.7,752.83,48.87,1
SHP-0156,North,Rail,WH-D,109.98,7.96,257.01,821.58,19.62,1
SHP-0157,West,Road,WH-A,138.5,6.5,448.55,1384.56,10.0,1
SHP-0158,Central,Sea,WH-B,85.02,8.27,298.78,557.92,10.0,1
SHP-0159,North,Road,WH-C,109.33,6.89,647.94,1027.84,40.83,1
SHP-0160,East,Road,WH-A,66.54,8.35,420.28,897.61,30.5,1
SHP-0161,East,Road,WH-A,48.49,5.99,384.15,508.67,52.09,0
SHP-0162,North,Road,WH-A,69.55,6.03,742.14,834.16,43.19,1
SHP-0163,Central,Road,WH-D,152.03,7.91,499.76,1472.27,39.78,1
SHP-0164,North,Air,WH-C,110.26,3.97,631.43,2557.47,31.8,1
SHP-0165,East,Road,WH-C,50.46,4.77,307.65,625.72,21.38,1
SHP-0166,South,Rail,WH-B,112.43,9.47,251.06,935.85,38.82,1
SHP-0167,West,Road,WH-C,52.11,6.0,518.77,513.49,10.0,1
SHP-0168,East,Road,WH-C,99.7,6.61,422.82,1088.65,29.46,1
SHP-0169,North,Road,WH-A,56.5,4.7,665.6,514.78,68.64,1
SHP-0170,West,Road,WH-B,49.24,7.19,474.21,574.34,30.31,1
SHP-0171,North,Air,WH-C,162.99,5.7,543.72,3781.07,54.66,1
SHP-0172,North,Road,WH-D,73.56,5.49,226.05,869.33,10.0,1
SHP-0173,South,Rail,WH-C,109.42,9.62,1219.81,885.77,66.61,1
SHP-0174,West,Road,WH-A,86.51,5.79,455.39,838.28,25.55,1
SHP-0175,West,Rail,WH-D,53.87,6.57,688.72,526.56,10.0,1
SHP-0176,South,Sea,WH-A,76.91,9.51,329.86,519.03,10.0,1
SHP-0177,East,Air,WH-C,54.08,1.0,571.26,998.86,14.97,1
SHP-0178,North,Road,WH-D,213.16,9.18,263.65,2260.64,26.83,0
SHP-0179,Central,Road,WH-B,117.68,4.81,612.16,1202.4,46.75,1
SHP-0180,North,Road,WH-B,85.83,4.93,415.35,1012.37,27.71,1
SHP-0181,North,Rail,WH-D,106.95,6.04,499.7,705.3,39.85,1
SHP-0182,East,Road,WH-D,114.47,6.76,688.85,923.32,35.42,1
SHP-0183,North,Road,WH-A,114.6,6.69,272.7,1234.27,33.03,1
SHP-0184,South,Rail,WH-D,112.54,8.15,354.76,904.44,19.64,1
SHP-0185,South,Road,WH-A,108.91,5.56,613.71,982.63,34.62,1
SHP-0186,West,Air,WH-C,88.81,2.25,1349.04,1906.15,70.21,1
SHP-0187,Central,Road,WH-A,157.53,8.17,461.15,1891.51,35.63,0
SHP-0188,North,Road,WH-D,91.22,5.81,654.42,943.62,29.67,1
SHP-0189,North,Air,WH-D,86.89,3.93,468.09,2047.96,40.39,1
SHP-0190,East,Road,WH-C,91.55,5.43,1251.73,908.91,51.86,1
SHP-0191,South,Rail,WH-D,94.33,8.41,213.01,576.3,10.0,1
SHP-0192,Central,Road,WH-D,40.22,7.02,515.64,493.14,38.67,1
SHP-0193,West,Road,WH-B,58.49,6.53,225.82,649.25,11.09,1
SHP-0194,South,Air,WH-B,81.27,2.99,147.95,1805.74,10.0,1
SHP-0195,West,Air,WH-C,39.38,3.0,568.38,910.05,44.61,1
SHP-0196,East,Rail,WH-A,85.77,7.77,526.87,721.1,19.87,1
SHP-0197,East,Road,WH-B,93.8,6.5,429.78,994.54,20.63,0
SHP-0198,North,Rail,WH-A,47.57,6.98,468.26,321.14,46.74,1
SHP-0199,Central,Road,WH-D,64.56,5.77,2180.23,760.96,143.0,1
SHP-0200,West,Road,WH-B,142.63,7.61,435.32,1316.58,47.53,1
SHP-0201,South,Sea,WH-C,107.41,9.79,629.46,475.07,30.39,1
SHP-0202,East,Road,WH-C,104.84,5.52,360.79,1161.8,38.3,1
SHP-0203,North,Sea,WH-C,135.18,9.84,567.77,830.98,16.99,1
SHP-0204,North,Road,WH-B,58.98,4.02,439.5,627.51,10.57,1
SHP-0205,West,Road,WH-A,47.63,4.26,404.62,403.56,10.0,1
SHP-0206,East,Road,WH-D,127.44,7.28,1179.77,1277.96,89.98,0
SHP-0207,Central,Sea,WH-A,82.24,9.45,867.01,516.62,34.73,1
SHP-0208,East,Air,WH-A,58.31,3.64,526.18,1204.7,27.04,1
SHP-0209,West,Air,WH-D,190.95,5.48,163.04,4233.0,10.0,1
SHP-0210,West,Rail,WH-D,40.08,4.96,414.35,408.48,33.22,1
SHP-0211,East,Rail,WH-B,91.99,8.91,1803.44,886.79,93.55,1
SHP-0212,West,Sea,WH-B,78.23,11.34,441.1,518.43,10.0,1
SHP-0213,East,Road,WH-B,72.62,4.96,836.77,847.31,52.65,1
SHP-0214,South,Road,WH-B,29.55,5.82,984.5,213.14,32.64,1
SHP-0215,East,Road,WH-B,156.63,6.63,547.36,1666.74,17.54,1
SHP-0216,East,Sea,WH-D,43.9,9.9,328.96,303.46,10.0,1
SHP-0217,West,Sea,WH-A,75.62,8.91,153.09,528.29,10.0,1
SHP-0218,West,Road,WH-B,70.31,4.0,684.3,717.69,40.31,1
SHP-0219,North,Air,WH-B,108.77,3.52,333.26,2575.09,10.0,1
SHP-0220,North,Sea,WH-A,40.27,9.58,536.22,275.01,10.0,1
SHP-0221,South,Road,WH-B,103.3,6.2,270.45,1149.42,14.84,1
SHP-0222,North,Rail,WH-A,92.19,6.8,433.84,696.43,15.71,1
SHP-0223,East,Sea,WH-A,63.21,9.68,500.79,444.41,57.42,0
SHP-0224,West,Road,WH-D,101.76,6.94,560.55,1075.13,58.34,1
SHP-0225,North,Rail,WH-C,85.71,7.99,288.55,624.82,10.0,1
SHP-0226,North,Road,WH-D,172.75,8.12,875.26,1785.99,56.5,1
SHP-0227,South,Sea,WH-C,78.2,9.64,370.0,519.74,31.59,1
SHP-0228,South,Sea,WH-C,55.06,11.34,220.58,473.58,10.0,1
SHP-0229,East,Sea,WH-C,103.73,9.51,467.63,645.66,10.0,1
SHP-0230,West,Road,WH-B,74.08,6.69,500.95,896.03,27.37,1
SHP-0231,South,Sea,WH-D,84.97,11.89,532.23,679.5,26.68,1
SHP-0232,North,Sea,WH-C,47.8,10.41,947.5,307.98,45.58,1
SHP-0233,West,Road,WH-A,109.48,6.54,439.88,1235.89,30.83,1
SHP-0234,West,Sea,WH-B,69.02,9.63,465.25,377.25,14.33,1
SHP-0235,North,Road,WH-D,95.2,7.71,290.17,1095.99,10.0,1
SHP-0236,South,Rail,WH-C,191.63,8.31,730.6,1450.97,41.82,1
SHP-0237,North,Road,WH-A,76.28,5.06,538.33,643.72,35.4,1
SHP-0238,West,Road,WH-D,115.8,6.43,402.78,1224.17,10.0,1
SHP-0239,Central,Road,WH-D,78.54,7.64,197.5,841.4,24.78,1
SHP-0240,Central,Rail,WH-B,63.58,8.08,985.67,490.45,27.65,1
SHP-0241,East,Road,WH-D,144.78,6.29,273.34,1610.22,10.0,1
SHP-0242,North,Air,WH-B,35.2,2.28,370.99,756.53,16.53,1
SHP-0243,North,Road,WH-C,128.44,6.41,585.23,1262.93,22.64,1
SHP-0244,East,Road,WH-B,33.4,4.59,277.45,406.68,10.0,1
SHP-0245,East,Road,WH-A,122.81,8.14,240.6,1374.84,41.3,1
SHP-0246,East,Air,WH-B,85.53,1.96,177.77,1904.13,10.0,0
SHP-0247,West,Road,WH-A,55.13,7.64,696.51,766.24,74.93,1
SHP-0248,North,Rail,WH-B,71.02,8.73,379.29,666.55,27.42,0
SHP-0249,West,Sea,WH-D,113.15,12.29,2008.39,534.37,111.84,1
SHP-0250,East,Rail,WH-C,183.58,9.27,305.73,1312.5,23.96,1
SHP-0251,North,Road,WH-A,40.96,5.36,316.62,435.09,55.36,1
SHP-0252,West,Road,WH-B,56.59,4.17,375.63,655.78,10.0,1
SHP-0253,West,Sea,WH-B,45.97,9.22,553.75,136.67,13.65,1
SHP-0254,East,Road,WH-B,78.26,6.78,393.19,1094.89,10.3,1
SHP-0255,North,Sea,WH-D,124.22,12.73,661.11,835.84,36.84,1
SHP-0256,East,Road,WH-D,43.32,4.31,308.05,502.43,10.0,1
SHP-0257,North,Sea,WH-A,84.56,10.1,253.87,668.68,14.3,1
SHP-0258,Central,Air,WH-A,122.53,4.03,207.86,2979.24,36.84,1
SHP-0259,South,Sea,WH-D,70.58,8.67,169.47,551.94,11.59,1
SHP-0260,South,Road,WH-A,24.24,5.92,384.26,422.15,16.74,1
SHP-0261,South,Air,WH-C,92.55,2.83,426.46,2098.86,14.18,1
SHP-0262,East,Road,WH-C,140.18,7.1,363.91,1446.79,33.49,1
SHP-0263,Central,Road,WH-D,52.13,5.22,895.01,546.33,36.84,1
SHP-0264,North,Rail,WH-A,36.79,6.25,888.43,277.39,76.56,1
SHP-0265,West,Sea,WH-B,97.37,10.74,419.6,569.73,52.08,1
SHP-0266,North,Sea,WH-C,98.51,10.53,208.29,511.22,15.31,1
SHP-0267,West,Air,WH-D,68.48,2.81,375.4,1550.33,20.47,1
SHP-0268,North,Road,WH-A,62.81,5.09,369.48,536.76,35.78,1
SHP-0269,Central,Road,WH-D,86.26,6.72,359.45,957.63,36.19,1
SHP-0270,West,Air,WH-B,51.72,4.83,352.52,1221.67,10.0,1
SHP-0271,East,Road,WH-C,51.76,5.89,360.08,611.01,11.91,1
SHP-0272,North,Road,WH-D,112.83,7.98,409.3,1168.5,10.0,1
SHP-0273,North,Road,WH-D,50.21,4.11,363.2,827.84,26.11,1
SHP-0274,West,Road,WH-D,37.78,5.66,544.57,583.24,39.95,1
SHP-0275,East,Road,WH-B,62.76,4.67,585.8,568.21,11.97,1
SHP-0276,East,Road,WH-D,69.2,4.35,318.27,756.59,10.68,1
SHP-0277,Central,Road,WH-B,103.29,5.81,906.97,1031.1,29.67,1
SHP-0278,East,Road,WH-B,65.12,7.34,307.84,659.49,10.0,1
SHP-0279,East,Sea,WH-B,150.34,12.8,226.66,786.3,20.73,0
SHP-0280,East,Road,WH-C,88.18,6.67,591.57,996.6,21.53,1
SHP-0281,South,Road,WH-C,59.05,4.1,332.83,573.45,13.79,0
SHP-0282,Central,Rail,WH-D,101.45,8.1,574.91,892.32,10.0,1
SHP-0283,North,Road,WH-D,149.18,7.83,155.44,1647.67,11.35,1
SHP-0284,West,Sea,WH-C,111.53,11.21,961.39,827.29,52.21,0
SHP-0285,North,Air,WH-A,42.22,1.0,680.41,870.12,26.49,1
SHP-0286,Central,Road,WH-C,71.76,5.07,239.79,815.7,10.35,1
SHP-0287,West,Road,WH-B,94.57,6.43,242.3,1071.09,16.03,1
SHP-0288,Central,Sea,WH-C,109.57,11.59,1099.58,659.01,48.25,0
SHP-0289,East,Sea,WH-B,78.47,7.89,345.87,425.61,10.0,1
SHP-0290,West,Road,WH-D,73.82,5.94,330.16,953.15,45.24,1
SHP-0291,East,Rail,WH-A,172.19,9.76,166.05,1315.44,10.0,1
SHP-0292,North,Road,WH-D,112.22,7.8,416.39,1263.72,21.45,0
SHP-0293,North,Sea,WH-B,101.58,11.63,441.73,592.38,39.46,1
SHP-0294,West,Road,WH-B,66.3,6.66,694.67,640.06,91.14,1
SHP-0295,West,Sea,WH-B,51.4,9.01,251.75,342.17,10.0,1
SHP-0296,Central,Rail,WH-A,102.34,6.15,237.52,764.68,19.81,1
SHP-0297,Central,Rail,WH-C,117.41,8.16,611.83,814.32,23.04,1
SHP-0298,East,Road,WH-D,84.79,7.48,798.9,939.27,35.86,1
SHP-0299,West,Road,WH-D,112.35,8.42,231.79,1067.03,10.0,1
SHP-0300,North,Road,WH-C,113.57,7.66,828.09,1116.0,28.66,1
SHP-0301,Central,Road,WH-D,120.72,7.47,501.71,1341.66,26.97,1
SHP-0302,Central,Road,WH-A,41.91,5.99,832.19,560.34,23.65,1
SHP-0303,North,Air,WH-D,72.63,2.67,476.42,1610.65,40.41,1
SHP-0304,Central,Road,WH-B,104.94,6.54,146.83,1023.05,10.0,1
SHP-0305,East,Road,WH-C,86.84,8.28,458.09,881.64,31.53,1
SHP-0306,West,Sea,WH-A,113.72,9.96,819.64,657.47,38.09,0
SHP-0307,North,Sea,WH-C,101.56,12.68,320.86,743.33,12.14,1
SHP-0308,West,Sea,WH-A,30.44,9.18,409.03,385.73,26.81,1
SHP-0309,Central,Sea,WH-B,132.97,12.92,452.8,786.18,10.0,1
SHP-0310,Central,Road,WH-C,68.75,4.42,122.51,628.83,10.0,1
SHP-0311,North,Road,WH-D,57.56,6.51,1099.1,688.07,47.56,1
SHP-0312,East,Air,WH-A,131.07,3.51,319.69,2872.73,10.0,1
SHP-0313,South,Rail,WH-C,110.03,6.85,628.13,791.91,10.0,1
SHP-0314,North,Road,WH-D,138.92,7.55,472.66,1574.99,46.09,1
SHP-0315,South,Air,WH-C,95.01,4.87,901.14,2252.44,39.26,1
SHP-0316,South,Road,WH-C,72.23,5.13,598.79,792.75,50.38,1
SHP-0317,East,Road,WH-C,90.39,4.7,440.2,828.92,40.24,1
SHP-0318,South,Road,WH-A,53.18,5.65,320.89,625.96,10.0,1
SHP-0319,South,Rail,WH-D,45.47,7.22,722.68,521.11,23.42,1
SHP-0320,East,Rail,WH-B,64.17,8.29,200.49,532.47,49.43,1
SHP-0321,South,Road,WH-A,156.64,8.71,671.84,1766.54,63.22,1
SHP-0322,South,Sea,WH-A,66.99,10.14,290.75,600.26,15.52,1
SHP-0323,South,Road,WH-A,38.13,7.62,898.83,649.16,53.3,1
SHP-0324,North,Road,WH-B,79.42,6.49,532.42,898.7,19.82,1
SHP-0325,North,Sea,WH-D,66.6,9.8,671.28,528.99,43.41,1
SHP-0326,North,Sea,WH-D,134.0,9.56,512.53,902.35,17.43,1
SHP-0327,East,Sea,WH-D,151.8,11.43,212.48,929.12,10.0,1
SHP-0328,Central,Air,WH-C,70.81,2.89,325.98,1564.71,10.0,1
SHP-0329,South,Rail,WH-C,94.98,9.31,680.44,744.62,37.74,1
SHP-0330,South,Rail,WH-C,98.35,8.8,533.79,819.21,12.39,0
SHP-0331,East,Road,WH-B,83.23,4.94,868.59,763.45,46.76,1
SHP-0332,South,Road,WH-C,76.85,6.38,597.99,832.04,16.77,1
SHP-0333,North,Road,WH-B,55.91,6.58,309.82,748.24,10.0,1
SHP-0334,Central,Road,WH-D,35.56,7.2,336.26,270.18,31.29,0
SHP-0335,West,Air,WH-C,55.77,4.02,517.7,1437.47,32.19,1
SHP-0336,South,Road,WH-C,81.98,7.15,162.27,1008.49,10.0,1
SHP-0337,North,Road,WH-A,43.35,5.65,1100.21,472.14,73.7,1
SHP-0338,West,Road,WH-B,92.88,6.92,609.13,1055.76,40.71,1
SHP-0339,Central,Rail,WH-D,87.58,9.51,888.0,740.77,70.54,1
SHP-0340,West,Road,WH-A,66.65,4.47,230.74,824.31,10.0,1
SHP-0341,North,Sea,WH-A,75.45,9.96,895.51,607.2,42.81,1
SHP-0342,West,Road,WH-D,46.67,4.75,1438.16,402.86,59.58,1
SHP-0343,East,Road,WH-A,119.8,7.39,261.38,1324.05,10.0,1
SHP-0344,West,Rail,WH-B,118.94,10.06,713.56,935.59,53.72,1
SHP-0345,South,Sea,WH-B,50.23,9.22,493.01,399.39,46.62,1
SHP-0346,South,Road,WH-C,50.85,2.97,234.79,470.97,27.32,1
SHP-0347,East,Rail,WH-A,56.09,7.04,624.27,648.54,10.0,1
