shipment_id,region,transport_mode,warehouse,shipment_volume_kg,distance_km,transport_cost,delivery_time_days
SHP-0044,South,Road,WH-D,165.74,222.8,1629.26,3.97
SHP-0045,South,Road,WH-B,77.27,559.48,777.7,3.77
SHP-0046,North,Sea,WH-A,51.15,709.53,279.52,6.05
SHP-0047,South,Air,WH-C,150.22,726.25,3365.38,2.94
SHP-0048,Central,Rail,WH-B,67.02,256.08,692.98,4.66
SHP-0049,South,Air,WH-C,44.02,602.62,1080.78,1.18
SHP-0050,West,Air,WH-C,93.13,878.04,2325.92,2.92
SHP-0051,West,Rail,WH-A,70.28,581.0,502.66,4.59
SHP-0052,West,Sea,WH-C,88.22,466.13,409.55,5.46
SHP-0053,West,Sea,WH-A,112.73,851.51,489.48,6.23
SHP-0054,Central,Rail,WH-A,84.63499999999999,353.09,626.85,4.83
SHP-0055,East,Rail,WH-A,123.14,236.44,746.9,4.65
SHP-0056,North,Road,WH-B,115.82,447.52,1280.85,5.21
SHP-0057,West,Rail,WH-D,20.69,637.03,104.15,4.74
SHP-0058,South,Road,WH-B,140.82,811.34,1473.67,4.01
SHP-0059,West,Rail,WH-D,79.02,635.65,437.22,5.21
SHP-0060,South,Sea,WH-D,112.24,735.97,528.58,5.76
SHP-0061,South,Rail,WH-A,63.57,813.83,480.06,5.07
SHP-0062,West,Road,WH-C,90.03,418.68,840.98,3.98
SHP-0063,Central,Road,WH-A,65.58,458.97,646.19,3.94
SHP-0064,South,Road,WH-C,65.4,914.01,681.28,5.24
SHP-0065,South,Air,WH-D,65.23,275.65,1521.66,2.98
SHP-0066,West,Road,WH-A,54.82,605.46,402.27,4.38
SHP-0067,South,Road,WH-C,153.73,349.32,1443.38,4.61
SHP-0068,South,Road,WH-B,68.68,835.58,819.64,5.98
SHP-0069,West,Air,WH-C,65.93,488.53,1534.44,1.05
SHP-0070,West,Air,WH-A,115.34,494.55,2678.76,2.13
SHP-0071,North,Road,WH-B,44.94,1129.88,577.98,4.67
SHP-0072,Central,Road,WH-C,69.2,293.98,594.27,4.11
SHP-0073,Central,Road,WH-C,72.75,546.53,787.69,4.19
SHP-0074,South,Rail,WH-C,52.96,451.94,388.39,3.84
SHP-0075,Central,Rail,WH-C,37.36,636.23,475.16,4.97
SHP-0076,South,Road,WH-C,90.0,1243.99,1018.67,5.79
SHP-0077,North,Rail,WH-B,103.86,368.52,746.42,4.03
SHP-0078,West,Road,WH-D,79.75,277.34,833.37,2.89
SHP-0079,West,Sea,WH-B,152.26,334.13,749.43,5.69
SHP-0080,West,Road,WH-B,97.05,440.65,992.57,4.07
SHP-0081,Central,Road,WH-B,83.23,508.18,810.02,4.85
SHP-0082,North,Road,WH-D,102.72,520.6,1060.33,2.81
SHP-0083,Central,Rail,WH-A,70.67,1170.61,628.9,6.19
SHP-0084,Central,Air,WH-D,125.22,1074.84,2925.66,2.6
SHP-0085,North,Road,WH-B,72.27,920.96,835.35,5.48
SHP-0086,North,Rail,WH-C,84.63499999999999,1647.36,703.18,6.91
SHP-0087,North,Air,WH-C,97.05,731.84,2283.38,2.66
SHP-0088,North,Road,WH-B,69.69,838.83,779.44,4.61
SHP-0089,West,Road,WH-C,34.95,725.09,767.73,4.8
SHP-0090,East,Sea,WH-B,104.62,670.24,432.94,8.43
SHP-0091,East,Road,WH-C,118.13,595.45,1149.98,3.74
SHP-0092,North,Road,WH-D,77.19,407.28,769.67,3.2
SHP-0093,East,Sea,WH-A,94.81,270.84,560.14,6.44
SHP-0094,East,Road,WH-A,73.74,462.8,515.17,3.48
SHP-0095,North,Road,WH-D,89.94,646.5,823.54,5.03
SHP-0096,East,Road,WH-D,56.58,510.14,562.82,4.81
SHP-0097,Central,Sea,WH-B,204.51,295.49,864.2,6.29
SHP-0098,South,Road,WH-B,180.46,455.04,1686.88,3.6
SHP-0099,South,Road,WH-B,52.99,443.79,498.95,3.21
SHP-0100,North,Road,WH-C,83.24,478.22,753.4,4.1
SHP-0101,West,Road,WH-B,92.09,623.68,862.95,4.37
SHP-0102,North,Road,WH-D,93.77,691.6,1055.19,2.9
SHP-0103,West,Road,WH-A,126.46,387.6,1281.52,3.23
SHP-0104,South,Rail,WH-C,66.22,789.14,554.68,4.82
SHP-0105,North,Road,WH-B,101.77,848.26,1031.96,4.25
SHP-0106,Central,Road,WH-C,78.47,574.64,872.31,2.08
SHP-0107,East,Road,WH-C,45.63,677.95,555.55,2.96
SHP-0108,West,Road,WH-B,112.96,790.31,1184.18,3.65
SHP-0109,East,Road,WH-C,83.01,290.94,759.55,3.71
SHP-0110,East,Air,WH-A,76.53,817.52,1713.62,2.41
SHP-0111,North,Road,WH-D,80.95,337.23,880.66,3.32
SHP-0112,East,Road,WH-D,113.91,353.37,1069.04,4.63
SHP-0113,Central,Road,WH-A,61.29,541.43,522.49,4.48
SHP-0114,East,Sea,WH-C,47.16,176.07,183.42,5.89
SHP-0115,North,Air,WH-B,67.77,536.09,1658.54,2.14
SHP-0116,Central,Rail,WH-C,93.05,789.39,625.19,4.95
SHP-0117,South,Road,WH-A,66.28,223.62,673.75,2.56
SHP-0118,East,Sea,WH-C,98.2,831.08,459.14,6.06
SHP-0119,North,Road,WH-D,101.7,352.33,1055.43,3.73
SHP-0120,South,Road,WH-C,78.99,544.19,836.9,4.28
SHP-0121,South,Road,WH-A,100.88,377.77,869.31,4.5
SHP-0122,West,Road,WH-D,83.46,648.72,866.16,3.97
SHP-0123,Central,Sea,WH-C,86.62,805.91,319.67,7.29
SHP-0124,East,Air,WH-C,99.79,672.21,2204.86,1.0
SHP-0125,North,Road,WH-D,88.59,491.81,880.06,3.78
SHP-0126,West,Rail,WH-B,43.47,392.13,461.7,4.14
SHP-0127,Central,Sea,WH-D,166.75,476.63,813.92,7.84
SHP-0128,West,Sea,WH-B,89.47,675.1,395.24,6.9
SHP-0129,Central,Rail,WH-A,58.8,686.31,411.71,5.52
SHP-0130,Central,Sea,WH-A,102.17,641.88,585.07,7.04
SHP-0131,East,Sea,WH-D,170.38,266.23,727.73,6.66
SHP-0132,Central,Air,WH-D,64.21,487.33,1539.47,2.92
SHP-0133,West,Road,WH-A,188.08,363.56,1773.97,2.59
SHP-0134,Central,Road,WH-B,117.05,678.01,1092.96,4.59
SHP-0135,East,Sea,WH-A,39.14,341.32,164.17,6.83
SHP-0136,East,Road,WH-D,194.08,612.16,1763.4,3.67
SHP-0137,West,Sea,WH-A,39.29,430.33,80.0,6.49
SHP-0138,South,Road,WH-D,91.4,199.94,877.69,2.64
SHP-0139,South,Road,WH-D,80.19,770.36,818.03,4.22
SHP-0140,Central,Road,WH-A,53.75,486.8,570.1,3.24
SHP-0141,North,Road,WH-B,109.18,909.11,1102.9,5.63
SHP-0142,Central,Sea,WH-C,143.62,221.55,850.36,6.0
SHP-0143,West,Sea,WH-A,44.81,428.41,249.39,6.52
SHP-0144,West,Air,WH-C,157.05,444.13,3380.53,2.48
SHP-0145,West,Rail,WH-A,116.44,560.99,712.12,4.61
SHP-0146,West,Road,WH-C,152.4,260.84,1468.69,4.17
SHP-0147,West,Road,WH-B,84.08,639.79,815.16,3.67
SHP-0148,East,Rail,WH-B,192.02,1233.48,1248.53,7.15
SHP-0149,South,Road,WH-A,98.62,618.8,981.71,3.76
SHP-0150,West,Road,WH-D,96.48,515.21,954.29,4.6
SHP-0151,North,Road,WH-C,95.12,254.38,1051.63,4.07
SHP-0152,North,Road,WH-D,41.78,339.8,350.76,3.53
SHP-0153,North,Sea,WH-D,108.71,479.72,494.14,6.1
SHP-0154,North,Sea,WH-D,50.71,382.11,386.17,5.19
SHP-0155,East,Road,WH-B,54.63,806.42,609.75,4.66
SHP-0156,North,Rail,WH-A,35.01,636.62,204.71,4.61
SHP-0157,West,Air,WH-A,37.92,1794.25,920.5,2.66
SHP-0158,Central,Road,WH-B,142.28,307.72,1279.11,3.02
SHP-0159,North,Sea,WH-B,80.18,500.64,767.73,7.59
SHP-0160,East,Sea,WH-A,26.76,253.64,223.22,5.35
SHP-0161,East,Road,WH-D,97.8,169.56,1073.16,4.41
SHP-0162,North,Road,WH-C,126.96,697.08,1142.96,4.42
SHP-0163,Central,Road,WH-C,60.6,625.39,695.26,4.94
SHP-0164,North,Road,WH-C,65.15,326.95,658.24,4.47
SHP-0165,East,Road,WH-D,131.8,515.25,1272.37,3.89
SHP-0166,South,Sea,WH-A,70.59,364.29,313.41,4.36
SHP-0167,West,Road,WH-B,147.03,388.69,1274.23,2.69
SHP-0168,East,Road,WH-A,84.92,422.53,891.59,3.47
SHP-0169,North,Sea,WH-D,142.12,320.43,559.66,7.79
SHP-0170,West,Air,WH-B,71.36,349.33,767.73,1.24
SHP-0171,North,Road,WH-D,148.91,354.09,1476.4,4.27
SHP-0172,North,Road,WH-C,46.85,603.64,348.05,4.97
SHP-0173,South,Road,WH-C,101.81,130.11,871.96,3.18
SHP-0174,West,Rail,WH-D,68.92,441.75,580.83,4.74
SHP-0175,West,Road,WH-B,83.88,292.34,830.03,3.93
SHP-0176,South,Road,WH-B,115.48,297.45,1067.9,3.68
SHP-0177,East,Sea,WH-A,79.32,382.87,397.66,6.27
SHP-0178,North,Road,WH-C,121.06,489.37,1242.74,3.76
SHP-0179,Central,Sea,WH-A,125.98,444.56,692.47,6.56
SHP-0180,North,Sea,WH-A,81.24,295.67,300.23,6.85
SHP-0181,North,Road,WH-D,117.45,696.74,1089.56,5.87
SHP-0182,East,Sea,WH-D,75.46,319.5,413.8,6.4
SHP-0183,North,Road,WH-A,90.86,346.31,942.11,4.36
SHP-0184,South,Sea,WH-C,109.97,564.85,432.55,6.53
SHP-0185,South,Rail,WH-D,66.09,574.66,396.58,4.65
SHP-0186,West,Rail,WH-A,44.2,367.38,301.21,4.77
SHP-0187,Central,Road,WH-A,59.82,120.38,579.82,3.98
SHP-0188,North,Sea,WH-A,68.88,322.13,767.73,5.45
SHP-0189,North,Air,WH-A,129.72,532.57,2787.77,1.37
SHP-0190,East,Road,WH-A,73.71,685.76,758.42,4.08
SHP-0191,South,Sea,WH-A,118.54,474.35,513.98,6.37
SHP-0192,Central,Road,WH-D,27.95,391.54,203.55,4.08
SHP-0193,West,Road,WH-C,52.26,1481.4,614.13,4.79
SHP-0194,South,Road,WH-A,22.42,412.08,236.9,1.43
SHP-0195,West,Road,WH-B,70.71,661.08,788.74,3.74
SHP-0196,East,Road,WH-D,152.55,259.61,1401.1,3.98
SHP-0197,East,Sea,WH-D,91.07,291.99,452.01,5.42
SHP-0198,North,Road,WH-A,54.23,672.31,443.51,3.69
SHP-0199,Central,Rail,WH-D,36.72,813.54,281.76,5.89
SHP-0200,West,Road,WH-A,97.12,408.68,992.43,3.84
SHP-0201,South,Sea,WH-C,57.05,202.89,316.81,5.63
SHP-0202,East,Sea,WH-C,63.0,454.67,364.24,6.13
SHP-0203,North,Road,WH-D,53.41,539.65,614.9,3.45
SHP-0204,North,Sea,WH-D,57.45,516.68,264.19,6.1
SHP-0205,West,Road,WH-B,48.38,375.99,529.31,3.8
SHP-0206,East,Air,WH-D,83.58,457.88,2024.8,1.05
SHP-0207,Central,Road,WH-B,93.47,343.82,878.13,4.9
SHP-0208,East,Sea,WH-C,57.99,288.97,394.48,6.45
SHP-0209,West,Road,WH-C,84.63499999999999,708.2,1718.97,4.34
SHP-0210,West,Rail,WH-A,106.22,516.43,710.41,5.6
SHP-0211,East,Air,WH-C,33.6,458.37,761.28,2.68
SHP-0212,West,Road,WH-B,90.0,386.28,895.37,3.47
SHP-0213,East,Road,WH-D,96.63,451.93,1019.74,4.01
SHP-0214,South,Road,WH-A,98.8,532.16,1013.37,4.86
SHP-0215,East,Road,WH-B,83.36,1129.77,844.31,6.8
SHP-0216,East,Rail,WH-D,116.03,674.64,641.59,5.69
SHP-0217,West,Road,WH-A,133.56,357.87,1351.23,3.08
SHP-0218,West,Road,WH-C,106.53,359.69,886.16,3.42
SHP-0219,North,Road,WH-B,145.49,333.75,1299.54,4.84
SHP-0220,North,Air,WH-D,124.98,447.53,2753.23,1.49
SHP-0221,South,Road,WH-A,77.09,333.63,661.91,3.19
SHP-0222,North,Road,WH-A,98.6,618.88,1011.62,4.58
SHP-0223,East,Road,WH-C,108.26,138.53,1015.87,3.01
SHP-0224,West,Road,WH-D,131.29,637.07,1361.0,5.16
SHP-0225,North,Sea,WH-C,81.41,562.38,282.71,7.06
SHP-0226,North,Road,WH-C,95.22,903.36,923.86,6.28
SHP-0227,South,Road,WH-D,36.24,750.59,404.66,4.41
SHP-0228,South,Air,WH-D,70.76,354.9,1588.57,1.0
SHP-0229,East,Air,WH-D,25.16,711.14,665.97,2.6
SHP-0230,West,Road,WH-B,56.63,454.56,501.21,4.33
SHP-0231,South,Air,WH-D,62.89,194.71,1361.7,1.73
SHP-0232,North,Sea,WH-A,108.04,531.79,569.29,6.12
SHP-0233,West,Road,WH-C,60.71,365.17,430.12,2.87
SHP-0234,West,Air,WH-B,83.66,492.8,1910.81,1.06
SHP-0235,North,Air,WH-D,98.85,1088.65,2323.01,4.35
SHP-0236,South,Road,WH-B,82.56,548.89,721.58,4.19
SHP-0237,North,Road,WH-D,65.9,302.38,625.08,3.04
SHP-0238,West,Road,WH-B,157.36,782.83,1676.93,4.89
SHP-0239,Central,Sea,WH-C,118.93,586.41,634.86,6.64
SHP-0240,Central,Sea,WH-C,80.31,285.75,420.0,5.28
SHP-0241,East,Rail,WH-A,71.39,227.92,561.56,4.64
SHP-0242,North,Road,WH-A,97.21,308.24,1092.51,3.93
SHP-0243,North,Rail,WH-D,96.8,736.14,689.57,6.93
SHP-0244,East,Rail,WH-C,88.88,426.34,579.28,4.61
SHP-0245,East,Road,WH-B,65.67,512.32,743.96,2.9
SHP-0246,East,Road,WH-B,30.25,259.18,293.16,2.71
SHP-0247,West,Sea,WH-B,96.76,745.72,420.83,6.17
SHP-0248,North,Road,WH-A,59.25,187.3,534.67,3.07
SHP-0249,West,Air,WH-B,155.08,359.75,3465.57,1.28
SHP-0250,East,Road,WH-A,51.43,602.36,500.79,4.76
SHP-0251,North,Road,WH-A,72.8,287.48,684.62,2.85
SHP-0252,West,Road,WH-D,152.96,661.68,1423.86,4.57
SHP-0253,West,Road,WH-B,72.6,324.66,830.52,4.89
SHP-0254,East,Sea,WH-B,59.47,273.55,262.09,6.42
SHP-0255,North,Road,WH-C,131.12,913.71,1261.8,5.41
SHP-0256,East,Sea,WH-D,147.4,530.54,657.35,8.28
SHP-0257,North,Road,WH-C,37.13,632.16,467.49,4.93
SHP-0258,Central,Sea,WH-D,125.24,803.31,673.68,7.55
SHP-0259,South,Road,WH-B,121.27,140.15,1123.09,3.01
SHP-0260,South,Sea,WH-A,79.07,668.27,411.87,6.34
SHP-0261,South,Air,WH-A,51.86,341.96,1190.45,1.16
SHP-0262,East,Road,WH-A,157.65,364.29,1470.48,4.06
SHP-0263,Central,Road,WH-A,30.24,607.88,212.67,4.02
SHP-0264,North,Sea,WH-A,58.92,413.95,339.45,6.43
SHP-0265,West,Sea,WH-C,115.33,655.48,519.53,5.86
SHP-0266,North,Road,WH-D,37.05,483.18,425.83,4.93
SHP-0267,West,Air,WH-B,74.71,534.18,1712.11,2.17
SHP-0268,North,Sea,WH-C,79.4,389.43,392.9,6.07
SHP-0269,Central,Sea,WH-D,144.07,295.55,637.88,6.49
SHP-0270,West,Sea,WH-A,115.58,345.38,497.0,6.82
SHP-0271,East,Air,WH-D,119.17,469.02,2568.2,1.29
SHP-0272,North,Road,WH-D,38.27,1190.2,409.64,5.0
SHP-0273,North,Road,WH-A,75.87,998.76,846.15,4.11
SHP-0274,West,Road,WH-A,102.59,360.11,1115.24,5.58
SHP-0275,East,Air,WH-A,133.68,507.21,3081.73,2.56
SHP-0276,East,Air,WH-B,45.35,429.19,1043.78,1.01
SHP-0277,Central,Road,WH-A,73.76,524.54,854.48,6.48
SHP-0278,East,Sea,WH-B,178.5,557.95,823.36,6.83
SHP-0279,East,Air,WH-A,61.44,634.73,1299.28,2.15
SHP-0280,East,Rail,WH-B,108.92,122.42,871.45,4.53
SHP-0281,South,Road,WH-D,122.93,587.53,1257.42,3.46
SHP-0282,Central,Road,WH-C,109.39,406.88,948.94,4.12
SHP-0283,North,Road,WH-D,130.16,351.3,1389.37,2.51
SHP-0284,West,Road,WH-D,37.17,721.44,351.38,4.78
SHP-0285,North,Road,WH-A,110.99,996.33,1092.03,4.34
SHP-0286,Central,Road,WH-B,78.21,685.89,879.53,3.99
SHP-0287,West,Road,WH-C,83.65,384.17,934.37,4.19
SHP-0288,Central,Road,WH-A,94.15,293.98,837.9,3.51
SHP-0289,East,Road,WH-A,104.23,116.4,1117.2,3.48
SHP-0290,West,Air,WH-A,77.73,537.87,1823.03,1.2
SHP-0291,East,Road,WH-D,85.18,650.62,797.25,5.92
SHP-0292,North,Sea,WH-B,39.2,469.24,194.25,6.54
SHP-0293,North,Sea,WH-B,42.81,771.39,375.65,5.98
SHP-0294,West,Road,WH-C,122.41,261.47,1058.93,3.78
SHP-0295,West,Road,WH-B,136.71,453.87,1445.56,3.28
SHP-0296,Central,Road,WH-B,130.8,436.97,1345.31,5.33
SHP-0297,Central,Rail,WH-A,92.55,467.38,679.68,5.1
SHP-0298,East,Rail,WH-A,155.68,863.17,1091.53,5.55
SHP-0299,West,Road,WH-D,146.4,468.57,1585.92,4.65
SHP-0300,North,Rail,WH-A,135.21,427.73,1082.53,5.03
SHP-0301,Central,Road,WH-A,84.32,314.31,776.99,2.74
SHP-0302,Central,Road,WH-A,111.71,932.36,1184.8,5.18
SHP-0303,North,Rail,WH-A,85.21,247.9,723.68,4.87
SHP-0304,Central,Road,WH-D,92.67,377.87,847.81,4.6
SHP-0305,East,Rail,WH-A,84.63499999999999,1111.08,833.83,6.49
SHP-0306,West,Road,WH-C,160.98,616.93,1658.94,4.59
SHP-0307,North,Sea,WH-C,98.81,488.0,322.51,6.65
SHP-0308,West,Road,WH-C,46.18,497.91,544.87,4.78
SHP-0309,Central,Road,WH-C,200.82,312.85,1845.79,4.07
SHP-0310,Central,Rail,WH-A,78.61,476.8,564.48,5.23
SHP-0311,North,Road,WH-C,47.39,416.57,575.09,4.15
SHP-0312,East,Sea,WH-A,94.3,537.12,276.17,6.95
SHP-0313,South,Air,WH-D,84.63499999999999,239.13,2602.78,1.13
SHP-0314,North,Rail,WH-C,137.47,596.43,1104.3,5.63
SHP-0315,South,Air,WH-B,96.56,802.7,2145.92,2.23
SHP-0316,South,Sea,WH-C,70.62,446.82,399.69,7.28
SHP-0317,East,Sea,WH-C,94.53,672.23,585.97,6.63
SHP-0318,South,Air,WH-A,92.85,571.9,1961.06,1.22
SHP-0319,South,Air,WH-C,115.54,368.07,2631.86,1.61
SHP-0320,East,Road,WH-B,86.54,296.46,927.78,3.77
SHP-0321,South,Road,WH-A,224.05,317.09,2204.91,4.26
SHP-0322,South,Rail,WH-A,138.97,567.13,955.61,4.78
SHP-0323,South,Road,WH-D,67.98,479.65,604.16,3.63
SHP-0324,North,Road,WH-D,64.95,908.73,801.02,4.8
SHP-0325,North,Road,WH-C,63.96,720.26,667.99,5.0
SHP-0326,North,Road,WH-D,108.49,719.54,1015.89,4.68
SHP-0327,East,Air,WH-D,90.92,559.07,2019.61,2.39
SHP-0328,Central,Sea,WH-D,58.72,310.49,318.56,6.25
SHP-0329,South,Road,WH-A,33.99,576.03,244.09,4.14
SHP-0330,South,Road,WH-A,73.69,508.09,742.11,2.94
SHP-0331,East,Sea,WH-A,111.79,285.31,492.54,5.46
SHP-0332,South,Road,WH-D,49.13,880.75,644.12,5.36
SHP-0333,North,Sea,WH-A,74.46,836.39,252.01,7.53
SHP-0334,Central,Road,WH-D,139.98,284.52,1427.7,3.74
SHP-0335,West,Road,WH-A,25.06,362.8,380.51,3.31
SHP-0336,South,Sea,WH-A,70.88,378.43,202.25,5.51
SHP-0337,North,Road,WH-B,68.58,660.32,567.0,4.43
SHP-0338,West,Rail,WH-C,44.1,624.82,479.5,4.2
SHP-0339,Central,Sea,WH-D,46.66,503.36,177.89,6.76
SHP-0340,West,Road,WH-B,120.82,561.97,1440.31,4.32
SHP-0341,North,Rail,WH-A,154.75,265.59,882.64,5.19
SHP-0342,West,Sea,WH-D,61.95,591.73,339.71,5.69
SHP-0343,East,Road,WH-A,128.47,469.46,1256.12,4.73
SHP-0344,West,Sea,WH-C,89.36,355.69,413.92,5.43
SHP-0345,South,Rail,WH-B,81.35,236.13,584.69,3.7
SHP-0346,South,Rail,WH-C,157.33,499.17,1104.26,5.14
SHP-0347,East,Rail,WH-B,60.7,584.84,427.96,6.96
SHP-0348,North,Road,WH-A,66.86,217.63,571.42,3.59
SHP-0349,South,Sea,WH-C,51.61,497.14,355.83,4.09
SHP-0350,Central,Sea,WH-C,51.93,522.53,325.72,5.79
SHP-0351,South,Rail,WH-A,108.8,377.65,746.55,5.07
SHP-0352,South,Air,WH-C,155.68,591.3,3519.87,1.45
SHP-0353,North,Rail,WH-D,98.93,462.35,741.56,5.67
SHP-0354,West,Road,WH-B,24.99,564.49,221.61,3.78
SHP-0355,South,Rail,WH-B,184.27,636.79,1293.53,6.18
SHP-0356,East,Rail,WH-B,132.64,636.96,868.86,5.3
SHP-0357,West,Rail,WH-D,143.11,802.77,1058.61,5.31
SHP-0358,Central,Air,WH-B,99.58,579.63,2221.66,2.6
SHP-0359,North,Road,WH-A,61.86,391.91,667.92,3.75
SHP-0360,Central,Road,WH-C,86.59,361.07,816.77,3.69
SHP-0361,West,Road,WH-D,146.05,295.78,1464.23,4.95
SHP-0362,West,Road,WH-B,75.72,529.84,683.43,4.31
SHP-0363,West,Air,WH-A,128.2,929.11,2897.64,1.51
SHP-0364,Central,Rail,WH-C,57.14,414.86,483.03,5.23
SHP-0365,West,Rail,WH-C,126.19,611.44,906.51,5.8
SHP-0366,Central,Road,WH-D,93.87,343.4,934.65,4.58
SHP-0367,West,Rail,WH-D,77.21,541.05,689.45,4.25
SHP-0368,East,Road,WH-D,93.12,901.88,1038.68,5.18
SHP-0369,West,Road,WH-A,119.76,684.99,1260.92,4.49
SHP-0370,Central,Air,WH-A,140.74,231.83,3167.51,1.13
SHP-0371,South,Sea,WH-D,66.19,648.03,412.29,6.91
SHP-0372,West,Road,WH-B,74.35,662.35,891.87,3.95
SHP-0373,South,Road,WH-C,115.56,535.54,1107.22,4.72
SHP-0374,East,Road,WH-C,217.96,678.86,2205.69,4.73
SHP-0375,North,Road,WH-A,202.95,330.27,1982.95,3.41
SHP-0376,East,Rail,WH-C,146.3,507.94,960.96,5.37
SHP-0377,West,Road,WH-B,164.11,839.56,1618.19,5.1
SHP-0378,South,Road,WH-C,60.19,803.98,653.65,3.72
SHP-0379,South,Road,WH-A,57.19,641.02,525.77,1.64
SHP-0380,Central,Road,WH-A,53.94,322.52,607.33,3.75
SHP-0381,South,Road,WH-B,59.74,299.04,583.21,3.44
SHP-0382,Central,Road,WH-B,113.83,520.6,1129.82,4.66
SHP-0383,North,Road,WH-C,91.87,537.42,1024.36,3.92
SHP-0384,West,Road,WH-C,121.46,469.57,1201.82,3.72
SHP-0385,Central,Sea,WH-A,155.79,334.86,852.07,7.48
SHP-0386,North,Road,WH-B,99.01,607.74,947.22,3.25
SHP-0387,South,Sea,WH-B,91.37,519.51,364.96,5.98
SHP-0388,South,Road,WH-B,186.63,566.3,1795.07,4.47
SHP-0389,North,Sea,WH-C,75.11,655.14,165.21,7.13
SHP-0390,South,Rail,WH-B,48.56,432.1,422.64,4.47
SHP-0391,North,Air,WH-A,111.66,389.71,2404.69,1.38
SHP-0392,Central,Air,WH-A,70.19,838.51,1561.89,3.33
SHP-0393,Central,Road,WH-C,97.16,342.57,1007.7,3.76
SHP-0394,North,Road,WH-D,59.91,393.39,610.14,2.58
SHP-0395,Central,Road,WH-C,113.47,891.08,1113.98,5.0
SHP-0396,Central,Rail,WH-D,89.92,378.96,451.9,5.12
SHP-0397,Central,Road,WH-B,88.22,469.97,979.76,5.32
SHP-0398,East,Road,WH-C,122.25,404.34,1251.6,4.5
SHP-0399,West,Rail,WH-A,157.93,209.36,1207.74,3.72
SHP-0400,South,Rail,WH-B,179.49,464.43,1156.16,4.13
SHP-0401,East,Air,WH-A,121.44,303.35,2579.64,2.91
SHP-0402,Central,Rail,WH-B,92.67,556.8,726.48,4.57
SHP-0403,North,Sea,WH-C,93.18,837.74,471.27,6.06
SHP-0404,Central,Road,WH-D,134.23,170.24,1339.1,4.36
SHP-0405,West,Road,WH-B,58.77,405.32,720.33,3.23
SHP-0406,Central,Road,WH-D,64.59,612.23,693.64,4.73
SHP-0407,North,Road,WH-B,39.41,172.78,401.65,2.59
SHP-0408,West,Sea,WH-A,138.74,935.81,717.59,8.4
SHP-0409,Central,Road,WH-A,166.58,591.31,1498.8,5.21
